approach,query,tfft,time,card
mjoin,Q1,0.278995990753,1.58849096298,11570
mjoin,Q2,0.345036029816,4.57824683189,93
mjoin,Q3,0.32624912262,0.695202112198,3495
mjoin,Q4,0.313476085663,0.369512081146,495
mjoin,Q5,0.351600885391,1.01830291748,5306
mjoin,Q6,0.333112955093,0.532449007034,1652
mjoin,Q7,0.242209911346,0.30793094635,10
mjoin,Q8,0.359633922577,0.562738895416,1182
mjoin,Q9,0.268434047699,0.585644006729,2867
mjoin,Q10,0.284801006317,0.290512084961,25
mjoin,Q11,0.235207080841,0.240581035614,12
mjoin,Q1,0.297808885574,1.58099007607,11570
mjoin,Q2,0.361832857132,4.97900295258,93
mjoin,Q3,0.313303947449,0.703155994415,3495
mjoin,Q4,0.281528949738,0.338726043701,495
mjoin,Q5,0.315803050995,0.955224990845,5306
mjoin,Q6,0.296162843704,0.499288797379,1652
mjoin,Q7,0.24956703186,0.314764022827,10
mjoin,Q8,0.300863981247,0.504002809525,1182
mjoin,Q9,0.255853176117,0.583214044571,2867
mjoin,Q10,0.236872911453,0.242860794067,25
mjoin,Q11,0.226923942566,0.231100082397,12
mjoin,Q1,0.271538972855,1.57272982597,11570
mjoin,Q2,0.342313051224,4.56629896164,93
mjoin,Q3,0.297393083572,0.694154977798,3495
mjoin,Q4,0.263713121414,0.31866312027,495
mjoin,Q5,0.297739028931,0.977365016937,5306
mjoin,Q6,0.294994831085,0.495506048203,1652
mjoin,Q7,0.257448911667,0.327341794968,10
mjoin,Q8,0.296653032303,0.490014076233,1182
mjoin,Q9,0.278696060181,0.592553138733,2867
mjoin,Q10,0.234253883362,0.239883899689,25
mjoin,Q11,0.248194932938,0.254115104675,12
tpf,Q1,-1,2.7189669609,11570
tpf,Q2,-1,343.6404709816,14
tpf,Q3,-1,0.8968489170,3495
tpf,Q4,-1,0.5482711792,495
tpf,Q5,-1,1.1199340820,5306
tpf,Q6,-1,0.7079751492,1652
tpf,Q7,-1,0.4831418991,10
tpf,Q8,-1,0.6772859097,1182
tpf,Q9,-1,1.0641269684,2867
tpf,Q10,-1,0.4834737778,25
tpf,Q11,-1,0.5985009670,12
tpf,Q1,-1,2.6147680283,11570
tpf,Q2,-1,207.0854370594,14
tpf,Q3,-1,0.8856339455,3495
tpf,Q4,-1,0.5465741158,495
tpf,Q5,-1,1.1256470680,5306
tpf,Q6,-1,0.7208609581,1652
tpf,Q7,-1,0.5219779015,10
tpf,Q8,-1,0.6757421494,1182
tpf,Q9,-1,1.0536170006,2867
tpf,Q10,-1,0.4783110619,25
tpf,Q11,-1,0.5900700092,12
tpf,Q1,-1,2.5460360050,11570
tpf,Q2,-1,205.1047139168,14
tpf,Q3,-1,0.9061460495,3495
tpf,Q4,-1,0.5754308701,495
tpf,Q5,-1,1.1779479980,5306
tpf,Q6,-1,0.7278711796,1652
tpf,Q7,-1,0.5004930496,10
tpf,Q8,-1,0.6733889580,1182
tpf,Q9,-1,1.0980470181,2867
tpf,Q10,-1,0.4758589268,25
tpf,Q11,-1,0.5906879902,12
