query	time	cardinality
Q1.sparql	2.5460360050	11570
Q10.sparql	205.1047139168	14
Q11.sparql	195.2508430481	16
Q2.sparql	32.1128060818	119976
Q3.sparql	238.7348339558	53
Q4.sparql	196.5312120914	16
Q5.sparql	1.1780540943	53
Q6.sparql	203.0436139107	19
Q7.sparql	0.4050729275	0
Q8.sparql	0.4046771526	0
Q9.sparql	0.4107849598	0
q17.rq	0.9061460495	3495
q18.rq	0.5754308701	495
q19.rq	1.1779479980	5306
q20.rq	0.7278711796	1652
q23.rq	0.5004930496	10
q25.rq	0.6733889580	1182
q26.rq	1.0980470181	2867
q28.rq	0.4758589268	25
q30.rq	0.5906879902	12
